query,allocation,size,elements,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run,run
Semaphore neighbor,standard,16,31080,0.0287509,0.0312599,0.0262322,0.0284965,0.0294847,0.030291,0.0377946,0.0310569,0.0251755,0.0277912,0.029869,0.025902,0.0300913,0.0298152,0.033782,0.0276546,0.03038,0.0259881,0.0303816,0.030183,0.0264077,0.0296953,0.0295664,0.0277485,0.0297865,0.0297536,0.0274027,0.029758,0.0355093
Semaphore neighbor,standard,32,64459,0.0496697,0.0496422,0.0491197,0.0491528,0.0492554,0.0500798,0.0503486,0.0502573,0.051775,0.050062,0.0494459,0.0560612,0.0494218,0.0489464,0.0491699,0.0510059,0.0515728,0.0511859,0.0496708,0.0542621,0.0501587,0.0493702,0.0501101,0.0494761,0.0468162,0.0489712,0.0488388,0.0496799,0.0522251
Semaphore neighbor,standard,64,126585,0.0921107,0.0920443,0.0939921,0.0922048,0.0959808,0.0937288,0.0936679,0.0934964,0.104737,0.0937875,0.0936232,0.0936503,0.0932976,0.093427,0.093512,0.0967497,0.0958925,0.10308,0.0946549,0.0969802,0.100982,0.094627,0.091818,0.0914924,0.0952717,0.0922403,0.0910614,0.0918539,0.0940444
Semaphore neighbor,standard,128,250213,0.173468,0.174793,0.171215,0.170814,0.171393,0.179569,0.174787,0.172758,0.170582,0.17452,0.170387,0.181175,0.179224,0.178336,0.169026,0.170375,0.168118,0.174367,0.180231,0.17123,0.170554,0.171526,0.168107,0.174666,0.167842,0.173359,0.180354,0.171749,0.170054
Semaphore neighbor,alternative,1,1336,0.00851065,0.0120263,0.011124,0.00710988,0.00771852,0.0106061,0.0109305,0.00825662,0.00752507,0.0087811,0.0111307,0.00742583,0.0101524,0.00998805,0.00858873,0.00727688,0.0116911,0.0118189,0.00836974,0.00836279,0.0100924,0.0108464,0.00834149,0.00851207,0.00826508,0.0112491,0.00913029,0.00985697,0.00994084
Semaphore neighbor,alternative,2,3473,0.00946186,0.011856,0.0111454,0.00954865,0.0115065,0.010411,0.0132939,0.0119685,0.0102664,0.0127748,0.00933103,0.00896184,0.0135867,0.00997192,0.0127654,0.0120527,0.0103469,0.0138324,0.0120419,0.00955611,0.0137607,0.00978476,0.0140661,0.0123899,0.0116705,0.0129805,0.0103768,0.0120003,0.0112398
Semaphore neighbor,alternative,4,8115,0.014656,0.0160473,0.0180201,0.0148109,0.0190303,0.0133875,0.0162403,0.0184195,0.0140949,0.0173966,0.0148555,0.0133245,0.0190643,0.0156719,0.0188581,0.0161502,0.0156597,0.0170213,0.019117,0.0188536,0.0160921,0.0139211,0.0172009,0.0137097,0.0176155,0.0146721,0.0166168,0.0179763,0.0144721
Semaphore neighbor,alternative,8,16242,0.019531,0.0226628,0.0192121,0.0226651,0.020118,0.0219922,0.0194009,0.0230459,0.0198246,0.0230751,0.0198339,0.0230229,0.0193608,0.0231819,0.0292984,0.0210025,0.0187718,0.0195797,0.0189716,0.02333,0.0190995,0.0228631,0.0194034,0.0207233,0.0197391,0.0206101,0.0201679,0.0206078,0.0202556
Semaphore neighbor,alternative,16,31080,0.0310369,0.0375862,0.0354235,0.0347508,0.0298991,0.0328807,0.035659,0.0326875,0.0297606,0.0373813,0.0349295,0.0329492,0.030526,0.0348688,0.0354001,0.0348276,0.0321376,0.0353942,0.0352117,0.0351102,0.0311331,0.0344399,0.0351711,0.0328204,0.030646,0.0353049,0.034876,0.0324052,0.0314006
Semaphore neighbor,alternative,32,64459,0.0726932,0.0589811,0.0597384,0.0568259,0.0541879,0.0569733,0.0589979,0.0637474,0.054302,0.0561221,0.0589364,0.0607084,0.056229,0.0540086,0.0536856,0.0587854,0.0605179,0.0576332,0.0544959,0.0565301,0.0594714,0.0581092,0.0556252,0.0543121,0.0577546,0.0590132,0.0566802,0.0563925,0.0543054
